"C:\Program Files (x86)\JetBrains\PyCharm 2016.1.4\bin\runnerw.exe" C:\Python27\python.exe C:/Users/diego/OneDrive/Projetos/sistema_contabil/manage.py runserver localhost:8000
Performing system checks...

System check identified no issues (0 silenced).
March 10, 2017 - 18:32:43
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[10/Mar/2017 18:32:48] "GET / HTTP/1.1" 200 15493
[10/Mar/2017 18:32:48] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[10/Mar/2017 18:32:52] "GET /preferencias/servicos HTTP/1.1" 301 0
[10/Mar/2017 18:32:52] "GET /preferencias/servicos/ HTTP/1.1" 200 39340
[10/Mar/2017 18:32:52] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[10/Mar/2017 18:32:53] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 200 160366
[10/Mar/2017 18:32:53] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 200 159
[10/Mar/2017 18:32:53] "GET /arquivos_estaticos/angular-1.5.8/dirPagination.js HTTP/1.1" 200 28299
[10/Mar/2017 18:32:53] "GET /arquivos_estaticos/scripts/protocolo/protocolo.js HTTP/1.1" 200 2624
[10/Mar/2017 18:32:53] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 200 3180
[10/Mar/2017 18:32:53] "GET /arquivos_estaticos/styles/servico/servico.css HTTP/1.1" 200 1462
[10/Mar/2017 18:32:53] "GET /api/preferencias/servicos/ HTTP/1.1" 200 298
[10/Mar/2017 18:33:01] "POST /api/preferencias/novo_servico HTTP/1.1" 200 31
[10/Mar/2017 18:34:55] "GET /preferencias/servicos/ HTTP/1.1" 200 39340
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/scripts/protocolo/protocolo.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/angular-1.5.8/dirPagination.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/styles/servico/servico.css HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[10/Mar/2017 18:34:55] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
