"C:\Program Files (x86)\JetBrains\PyCharm 2016.1.4\bin\runnerw.exe" C:\Python27\python.exe C:/Users/diego/OneDrive/Projetos/sistema_contabil/manage.py runserver localhost:8000
Performing system checks...

System check identified no issues (0 silenced).
November 18, 2016 - 02:07:15
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[18/Nov/2016 02:07:16] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 02:23:10] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 02:39:02] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 02:47:24] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 03:04:44] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 03:25:51] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 03:48:12] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 04:11:43] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 04:35:18] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 04:49:56] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 05:02:09] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 05:31:01] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 05:37:16] "GET / HTTP/1.1" 200 14491
[18/Nov/2016 05:37:16] "GET /arquivos_estaticos/icones/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
[18/Nov/2016 05:37:40] "GET /entidade/cadastro/ HTTP/1.1" 200 33447
[18/Nov/2016 05:37:40] "GET /arquivos_estaticos/datatable/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 404 1877
[18/Nov/2016 05:37:40] "GET /arquivos_estaticos/datatable/datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 404 1799
[18/Nov/2016 05:37:40] "GET /arquivos_estaticos/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[18/Nov/2016 05:37:40] "GET /arquivos_estaticos/datatable/datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 404 1799
[18/Nov/2016 05:37:40] "GET /arquivos_estaticos/datatable/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 404 1877
[18/Nov/2016 05:39:51] "GET /entidade/cadastro/ HTTP/1.1" 200 33458
[18/Nov/2016 05:39:51] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:51] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[18/Nov/2016 05:39:51] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:51] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:51] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 0
[18/Nov/2016 05:39:51] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[18/Nov/2016 05:39:52] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:52] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:52] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/css/dataTables.bootstrap.min.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:52] "GET /arquivos_estaticos/datatable/plugins/responsivo/Responsive-2.0.2/css/responsive.bootstrap.min.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:52] "GET /arquivos_estaticos/datatable/plugins/select/Select-1.1.2/css/select.bootstrap.min.css HTTP/1.1" 304 0
[18/Nov/2016 05:39:52] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/js/jquery.dataTables.min.js HTTP/1.1" 304 0
